simbolo,descripcion,moneda,mercado,pais,paneles,visto_desde
#MAV010960074,Pagare Ars 02/09/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
#MAV031260019,Pagare Ars 04/12/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
#MAV031260020,Pagare Ars 04/12/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
#MAV031260021,Pagare Ars 04/12/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
#MAV031260022,Pagare Ars 04/12/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
#MAV031260023,Pagare Ars 04/12/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
#MAV041060028,Pagare Ars 06/10/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
#MAV041200929,Pagare Ars 10/12/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
#MAV091160023,Pagare Ars 10/11/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
#MAV100960073,Pagare Ars 11/09/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
#MAV101160024,Pagare Ars 11/11/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
#MAV150270017,Pagare Ars 16/02/2027,AR$,BCBA,argentina,Letras/Todas,2026-08-29
#MAV150270018,Pagare Ars 16/02/2027,AR$,BCBA,argentina,Letras/Todas,2026-08-29
#MAV150270019,Pagare Ars 16/02/2027,AR$,BCBA,argentina,Letras/Todas,2026-08-29
#MAV150270020,Pagare Ars 16/02/2027,AR$,BCBA,argentina,Letras/Todas,2026-08-29
#MAV150270021,Pagare Ars 16/02/2027,AR$,BCBA,argentina,Letras/Todas,2026-08-29
#MAV150270022,Pagare Ars 16/02/2027,AR$,BCBA,argentina,Letras/Todas,2026-08-29
#MAV171160036,Pagare Ars 18/11/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
#MAV241160016,Pagare Ars 25/11/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
#MAV241160017,Pagare Ars 25/11/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
#MAV270170006,Pagare Ars 28/01/2027,AR$,BCBA,argentina,Letras/Todas,2026-08-29
#MAV290170009,Pagare Ars 01/02/2027,AR$,BCBA,argentina,Letras/Todas,2026-08-29
#MAV290170010,Pagare Ars 01/02/2027,AR$,BCBA,argentina,Letras/Todas,2026-08-29
#MAV290170011,Pagare Ars 01/02/2027,AR$,BCBA,argentina,Letras/Todas,2026-08-29
#MAV310860079,Pagare Ars 01/09/2026,AR$,BCBA,argentina,Letras/Todas,2026-08-29
#UFT110870001,Pagare Usd 13/8/2027,US$,BCBA,argentina,Letras/Todas,2026-08-29
#UMV010960020,Pagare USD 03/09/2026,US$,BCBA,argentina,Letras/Todas,2026-08-29
#UMV010960021,Pagare USD 03/09/2026,US$,BCBA,argentina,Letras/Todas,2026-08-29
#UMV010960029,Pagare USD 03/09/2026,US$,BCBA,argentina,Letras/Todas,2026-08-29
#UMV010960030,Pagare USD 03/09/2026,US$,BCBA,argentina,Letras/Todas,2026-08-29
#UMV021060020,Pagare Usd 06/10/2026,US$,BCBA,argentina,Letras/Todas,2026-08-29
#UMV021060021,Pagare Usd 06/10/2026,US$,BCBA,argentina,Letras/Todas,2026-08-29
#UMV031260011,Pagare Usd 09/12/2026,US$,BCBA,argentina,Letras/Todas,2026-08-29
#UMV031260012,Pagare Usd 09/12/2026,US$,BCBA,argentina,Letras/Todas,2026-08-29
#UMV031260013,Pagare Usd 09/12/2026,US$,BCBA,argentina,Letras/Todas,2026-08-29
#UMV031260014,Pagare Usd 09/12/2026,US$,BCBA,argentina,Letras/Todas,2026-08-29
#UMV031260015,Pagare Usd 09/12/2026,US$,BCBA,argentina,Letras/Todas,2026-08-29
#UMV031260016,Pagare Usd 09/12/2026,US$,BCBA,argentina,Letras/Todas,2026-08-29
#UMV031260018,Pagare Usd 09/12/2026,US$,BCBA,argentina,Letras/Todas,2026-08-29
#UMV031260020,Pagare Usd 09/12/2026,US$,BCBA,argentina,Letras/Todas,2026-08-29
#UMV031260021,Pagare Usd 09/12/2026,US$,BCBA,argentina,Letras/Todas,2026-08-29
#UMV031260022,Pagare Usd 09/12/2026,US$,BCBA,argentina,Letras/Todas,2026-08-29
#UMV031260023,Pagare Usd 09/12/2026,US$,BCBA,argentina,Letras/Todas,2026-08-29
#UMV041060004,Pagare Usd 07/10/2026,US$,BCBA,argentina,Letras/Todas,2026-08-29
#UMV091160028,Pagare Usd 11/11/2026,US$,BCBA,argentina,Letras/Todas,2026-08-29
#UMV100270063,Pagare Usd 12/02/2027,US$,BCBA,argentina,Letras/Todas,2026-08-29
#UMV100270067,Pagare Usd 12/02/2027,US$,BCBA,argentina,Letras/Todas,2026-08-29
